,pair,count,,
0,"('Greece', 'Spain')",1,,
1,"('Spain', 'United Kingdom')",2,,
2,"('France', 'Spain')",4,,
3,"('Spain', 'Switzerland')",1,,
4,"('Germany', 'Spain')",2,,
5,"('Netherlands', 'Spain')",1,,声明+1
6,"('Italy', 'Spain')",2,,联合行动+2
7,"('Cyprus', 'Spain')",1,,条约 / 正式联盟关系+3
8,"('Spain', 'Sweden')",,,
9,"('Ireland', 'Spain')",,,
10,"('Belgium', 'Spain')",1,,
11,"('Norway', 'Spain')",,,
12,"('Austria', 'Spain')",1,,
13,"('Denmark', 'Spain')",,,
14,"('Iceland', 'Spain')",,,
15,"('Malta', 'Spain')",1,,
16,"('Finland', 'Spain')",,,
17,"('Greece', 'United Kingdom')",1,,
18,"('France', 'Greece')",1,,
19,"('Greece', 'Switzerland')",1,,
20,"('Germany', 'Greece')",1,,
21,"('Greece', 'Netherlands')",1,,
22,"('Greece', 'Italy')",1,,
23,"('Cyprus', 'Greece')",1,,
24,"('Greece', 'Sweden')",1,,
25,"('Greece', 'Ireland')",1,,
26,"('Belgium', 'Greece')",1,,
27,"('Greece', 'Norway')",1,,
28,"('Austria', 'Greece')",1,,
29,"('Denmark', 'Greece')",,,
30,"('Greece', 'Iceland')",1,,
31,"('Greece', 'Malta')",1,,
32,"('Finland', 'Greece')",1,,
33,"('France', 'United Kingdom')",7,,
34,"('Switzerland', 'United Kingdom')",1,,
35,"('Germany', 'United Kingdom')",2,,
36,"('Netherlands', 'United Kingdom')",1,,
37,"('Italy', 'United Kingdom')",1,,
38,"('Cyprus', 'United Kingdom')",,,
39,"('Sweden', 'United Kingdom')",,,
40,"('Ireland', 'United Kingdom')",,,
41,"('Belgium', 'United Kingdom')",1,,
42,"('Norway', 'United Kingdom')",,,
43,"('Austria', 'United Kingdom')",,,
44,"('Denmark', 'United Kingdom')",,,
45,"('Iceland', 'United Kingdom')",,,
46,"('Malta', 'United Kingdom')",,,
47,"('Finland', 'United Kingdom')",,,
48,"('France', 'Switzerland')",4,,
49,"('France', 'Germany')",7,,
50,"('France', 'Netherlands')",1,,
51,"('France', 'Italy')",3,,
52,"('Cyprus', 'France')",1,,
53,"('France', 'Sweden')",2,,
54,"('France', 'Ireland')",,,
55,"('Belgium', 'France')",4,,
56,"('France', 'Norway')",,,
57,"('Austria', 'France')",6,,
58,"('Denmark', 'France')",1,,
59,"('France', 'Iceland')",,,
60,"('France', 'Malta')",1,,
61,"('Finland', 'France')",1,,
62,"('Germany', 'Switzerland')",1,,
63,"('Netherlands', 'Switzerland')",2,,
64,"('Italy', 'Switzerland')",3,,
65,"('Cyprus', 'Switzerland')",,,
66,"('Sweden', 'Switzerland')",,,
67,"('Ireland', 'Switzerland')",,,
68,"('Belgium', 'Switzerland')",1,,
69,"('Norway', 'Switzerland')",,,
70,"('Austria', 'Switzerland')",3,,
71,"('Denmark', 'Switzerland')",,,
72,"('Iceland', 'Switzerland')",,,
73,"('Malta', 'Switzerland')",,,
74,"('Finland', 'Switzerland')",,,
75,"('Germany', 'Netherlands')",1,,
76,"('Germany', 'Italy')",3,,
77,"('Cyprus', 'Germany')",,,
78,"('Germany', 'Sweden')",,,
79,"('Germany', 'Ireland')",,,
80,"('Belgium', 'Germany')",1,,
81,"('Germany', 'Norway')",,,
82,"('Austria', 'Germany')",5,,
83,"('Denmark', 'Germany')",,,
84,"('Germany', 'Iceland')",,,
85,"('Germany', 'Malta')",1,,
86,"('Finland', 'Germany')",,,
87,"('Italy', 'Netherlands')",1,,
88,"('Cyprus', 'Netherlands')",,,
89,"('Netherlands', 'Sweden')",,,
90,"('Ireland', 'Netherlands')",,,
91,"('Belgium', 'Netherlands')",1,,
92,"('Netherlands', 'Norway')",,,
93,"('Austria', 'Netherlands')",,,
94,"('Denmark', 'Netherlands')",,,
95,"('Iceland', 'Netherlands')",,,
96,"('Malta', 'Netherlands')",,,
97,"('Finland', 'Netherlands')",,,
98,"('Cyprus', 'Italy')",1,,
99,"('Italy', 'Sweden')",,,
100,"('Ireland', 'Italy')",,,
101,"('Belgium', 'Italy')",1,,
102,"('Italy', 'Norway')",,,
103,"('Austria', 'Italy')",3,,
104,"('Denmark', 'Italy')",,,
105,"('Iceland', 'Italy')",,,
106,"('Italy', 'Malta')",1,,
107,"('Finland', 'Italy')",,,
108,"('Cyprus', 'Sweden')",,,
109,"('Cyprus', 'Ireland')",,,
110,"('Belgium', 'Cyprus')",,,
111,"('Cyprus', 'Norway')",,,
112,"('Austria', 'Cyprus')",,,
113,"('Cyprus', 'Denmark')",,,
114,"('Cyprus', 'Iceland')",,,
115,"('Cyprus', 'Malta')",,,
116,"('Cyprus', 'Finland')",,,
117,"('Ireland', 'Sweden')",,,
118,"('Belgium', 'Sweden')",,,
119,"('Norway', 'Sweden')",,,
120,"('Austria', 'Sweden')",,,
121,"('Denmark', 'Sweden')",,,
122,"('Iceland', 'Sweden')",,,
123,"('Malta', 'Sweden')",,,
124,"('Finland', 'Sweden')",,,
125,"('Belgium', 'Ireland')",,,
126,"('Ireland', 'Norway')",,,
127,"('Austria', 'Ireland')",,,
128,"('Denmark', 'Ireland')",,,
129,"('Iceland', 'Ireland')",,,
130,"('Ireland', 'Malta')",,,
131,"('Finland', 'Ireland')",,,
132,"('Belgium', 'Norway')",,,
133,"('Austria', 'Belgium')",,,
134,"('Belgium', 'Denmark')",,,
135,"('Belgium', 'Iceland')",,,
136,"('Belgium', 'Malta')",,,
137,"('Belgium', 'Finland')",,,
138,"('Austria', 'Norway')",,,
139,"('Denmark', 'Norway')",,,
140,"('Iceland', 'Norway')",,,
141,"('Malta', 'Norway')",,,
142,"('Finland', 'Norway')",,,
143,"('Austria', 'Denmark')",,,
144,"('Austria', 'Iceland')",,,
145,"('Austria', 'Malta')",,,
146,"('Austria', 'Finland')",,,
147,"('Denmark', 'Iceland')",,,
148,"('Denmark', 'Malta')",,,
149,"('Denmark', 'Finland')",,,
150,"('Iceland', 'Malta')",1,,
151,"('Finland', 'Iceland')",1,,
152,"('Finland', 'Malta')",1,,
